month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2025-06,Alabama,12401,250,13714,7830,719,702,0,4,3,0,1699,635,12,98,0,0,0,0,7,2,1,0,2,0,38079
2025-06,Alaska,83,183,2815,2016,229,211,0,0,0,0,145,74,1,41,10,0,0,0,1,0,1,0,0,0,5810
2025-06,Arizona,8224,92,15757,7645,1285,831,0,3,1,0,1000,345,10,336,31,0,0,0,8,9,1,0,0,1,35579
2025-06,Arkansas,2294,128,5910,4365,352,386,9,13,2,0,827,572,3,4,1,0,0,0,11,6,2,0,0,0,14885
2025-06,California,28824,11120,37391,18256,3907,0,0,1,4,0,488,323,31,1855,980,97,0,0,7194,3042,594,29,16,0,114152
2025-06,Colorado,14424,13,13942,8043,1498,1647,0,0,0,0,0,0,0,304,44,2,0,0,0,0,0,0,0,0,39917
2025-06,Connecticut,5762,599,4657,1657,187,0,2,0,0,0,84,33,1,65,0,2,0,0,1,0,0,0,0,0,13050
2025-06,Delaware,1214,0,1579,906,94,78,0,0,0,0,10,7,1,67,1,0,0,0,31,28,1,0,0,0,4017
2025-06,District of Columbia,1213,0,210,11,2,2,2,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,1458
2025-06,Florida,8785,0,50705,18352,3494,3008,1,39,13,1,3260,738,9,1867,95,10,0,0,225,131,24,63,54,1,90875
2025-06,Georgia,14055,0,15899,7676,759,802,0,9,3,1,1879,639,12,79,1,0,0,0,12,5,1,0,0,0,41832
2025-06,Guam,0,1,208,60,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291
2025-06,Hawaii,1266,0,0,0,0,0,1,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,1291
2025-06,Idaho,7663,280,4592,4245,375,287,0,3,0,1,302,189,3,94,7,1,0,0,8,5,2,1,0,0,18058
2025-06,Illinois,11198,125409,19161,7889,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164500
2025-06,Indiana,400,26268,15586,8964,1196,888,1,1,0,0,692,226,11,75,1,0,0,0,32,18,4,0,0,0,54363
2025-06,Iowa,2830,3571,2570,1994,159,90,5,0,0,0,36,25,0,110,15,1,0,0,17,2,0,0,0,0,11425
2025-06,Kansas,2056,6,5001,3615,425,336,0,0,0,1,381,137,2,166,18,1,0,0,6,10,0,2,3,0,12166
2025-06,Kentucky,580,278278,8617,5950,479,530,4,4,4,0,1126,559,2,32,7,0,0,0,6,5,2,0,0,0,296185
2025-06,Louisiana,503,0,9169,5158,602,458,0,2,1,0,732,346,8,2,0,0,0,0,9,2,4,0,0,0,16996
2025-06,Maine,445,11,2683,2436,215,253,7,0,0,0,35,26,0,24,9,0,0,0,3,2,0,0,0,0,6149
2025-06,Mariana Islands,0,0,14,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2025-06,Maryland,12482,3518,7809,4079,139,6,0,0,1,1,93,53,3,97,19,6,0,0,0,9,2,0,0,0,28317
2025-06,Massachusetts,11387,0,4350,2103,1381,271,2,0,0,0,11,13,1,2,1,0,0,0,18,31,10,1,0,1,19583
2025-06,Michigan,25353,7605,9227,8890,829,374,54,0,0,1,19,146,5,576,29,48,0,0,9,8,1,0,1,0,53175
2025-06,Minnesota,10586,30549,7895,7349,563,423,1,1,0,2,148,133,0,84,11,6,0,0,19,27,0,0,2,0,57799
2025-06,Mississippi,1992,0,6785,3860,331,378,0,3,3,2,1212,498,2,18,1,0,0,0,7,10,0,0,2,0,15104
2025-06,Missouri,2753,669,15686,10591,1239,1030,0,3,2,0,1062,424,9,294,23,2,0,0,25,13,2,0,0,1,33828
2025-06,Montana,815,1,3715,3832,278,472,11,2,0,1,366,318,2,39,9,1,0,0,4,3,3,1,0,0,9873
2025-06,Nebraska,3359,220,128,1101,12,3,0,0,0,0,3,20,1,63,3,0,0,0,0,0,0,0,0,0,4913
2025-06,Nevada,1976,0,5339,2514,302,302,0,3,0,0,221,76,2,5,2,2,0,0,0,0,0,0,23,12,10779
2025-06,New Hampshire,1453,3,5486,2335,346,1,22,0,4,0,0,5,0,154,8,6,0,0,0,0,0,0,0,0,9823
2025-06,New Jersey,0,0,6971,3255,546,0,0,0,0,0,0,0,0,1,0,0,0,0,77,58,7,1,1,0,10917
2025-06,New Mexico,287,0,4304,2697,347,419,0,4,0,0,255,170,1,52,0,0,0,0,43,19,1,0,0,0,8599
2025-06,New York,2362,1794,8969,7437,579,389,0,0,0,0,41,30,4,78,86,0,10,0,368,323,31,8,15,0,22524
2025-06,North Carolina,12424,173,20237,9177,1038,936,0,8,2,0,2170,747,14,815,86,4,1,1,42,10,1,0,0,0,47886
2025-06,North Dakota,395,7,1445,1973,100,53,0,1,0,0,49,59,1,7,1,0,0,0,4,2,0,0,0,0,4097
2025-06,Ohio,6187,1339,18752,11532,1222,1045,0,1,2,0,1177,365,7,323,38,22,0,0,11,3,2,0,1,0,42029
2025-06,Oklahoma,2037,279,10146,6323,863,755,0,6,2,0,1450,678,12,186,8,0,0,0,17,14,3,2,5,0,22786
2025-06,Oregon,5385,313,12042,8764,1219,9,2,0,0,0,3,1,1,177,38,0,0,0,376,284,20,0,0,0,28634
